test_name,value,reference_low,reference_high,status
Hemoglobin,10.5,12,16,LOW
Hemoglobin,11.2,12,16,LOW
Hemoglobin,13.5,12,16,NORMAL
Hemoglobin,14.2,12,16,NORMAL
Hemoglobin,15.1,12,16,NORMAL
Hemoglobin,17.2,12,16,HIGH
Hemoglobin,18.1,12,16,HIGH
MCV,72,80,100,LOW
MCV,76,80,100,LOW
MCV,85,80,100,NORMAL
MCV,91,80,100,NORMAL
MCV,97,80,100,NORMAL
MCV,105,80,100,HIGH
MCV,112,80,100,HIGH
MCH,25,27,33,LOW
MCH,26,27,33,LOW
MCH,29,27,33,NORMAL
MCH,31,27,33,NORMAL
MCH,33,27,33,NORMAL
MCH,35,27,33,HIGH
MCH,37,27,33,HIGH
WBC,3.2,4,11,LOW
WBC,3.8,4,11,LOW
WBC,6.5,4,11,NORMAL
WBC,7.8,4,11,NORMAL
WBC,9.2,4,11,NORMAL
WBC,12.5,4,11,HIGH
WBC,15.2,4,11,HIGH
Platelets,120,150,450,LOW
Platelets,140,150,450,LOW
Platelets,220,150,450,NORMAL
Platelets,300,150,450,NORMAL
Platelets,410,150,450,NORMAL
Platelets,480,150,450,HIGH
Platelets,550,150,450,HIGH
Glucose,60,70,100,LOW
Glucose,68,70,100,LOW
Glucose,82,70,100,NORMAL
Glucose,90,70,100,NORMAL
Glucose,98,70,100,NORMAL
Glucose,115,70,100,HIGH
Glucose,135,70,100,HIGH
Creatinine,0.5,0.6,1.2,LOW
Creatinine,0.58,0.6,1.2,LOW
Creatinine,0.8,0.6,1.2,NORMAL
Creatinine,1.0,0.6,1.2,NORMAL
Creatinine,1.15,0.6,1.2,NORMAL
Creatinine,1.4,0.6,1.2,HIGH
Creatinine,1.8,0.6,1.2,HIGH
